,Reaction,Original Flux,Tissue-specific Flux,Difference
1534,r0494,-1000.0,-1000.0,0.0
1535,r0497,-1000.0,-1000.0,0.0
1536,r0511,0.0,0.0,0.0
1537,r0514,1000.0000000000001,0.0,1000.0000000000001
1538,THFATm,0.0,0.0,0.0
1539,SPHPL,0.0,0.0,0.0
1540,r0546,0.0,0.0,0.0
1541,BETALDHx,0.0,0.0,0.0
1542,r0557,0.0,0.0,0.0
1543,r0558,0.0,0.0,0.0
1544,r0568,0.0,0.0,0.0
1545,r0571,0.0,0.0,0.0
1546,r0573,0.0,0.0,0.0
1547,r0579,0.0,0.0,0.0
1548,DNADDP,0.0,0.0,0.0
1549,DPCOAPP,0.0,0.0,0.0
1550,AASAD3,0.0,0.0,0.0
1551,r0610,0.0,0.0,0.0
1552,HPROx,0.0,0.0,0.0
1553,HPROxm,-1000.0000000000001,-1000.0000000000001,0.0
1554,HPROb,0.0,0.0,0.0
1555,r0627,0.0,-83.37697546227277,83.37697546227277
1556,r0629,0.0,0.0,0.0
1557,r0630,0.0,0.0,0.0
1558,r0633,79.04642409033875,0.0,79.04642409033875
1559,r0637,1000.0,0.0,1000.0
1560,r0642,0.0,0.0,0.0
1561,AM6SAD,0.0,0.0,0.0
1562,r0647,0.0,0.0,0.0
1563,r0648,0.0,0.0,0.0
1564,r0650,0.0,0.0,0.0
1565,ACACT7m,-79.04642409033887,0.0,-79.04642409033887
1566,r0656,0.0,0.0,0.0
1567,ECOAH5p,0.0,0.0,0.0
1568,PRAIS,0.0,0.0,0.0
1569,r0669,0.0,0.0,0.0
1570,r0670,0.0,0.0,0.0
1571,r0672,0.0,0.0,0.0
1572,r0688,-1000.0,0.0,-1000.0
1573,r0698,96.61229611041499,303.1662395098465,-206.5539433994315
1574,r0706,0.0,0.0,0.0
1575,r0716_1,79.04642409033887,0.0,79.04642409033887
1576,r0717,0.0,0.0,0.0
1577,HACD6m,-79.04642409033889,0.0,-79.04642409033889
1578,r0721,0.0,0.0,0.0
1579,HACD5p,0.0,0.0,0.0
1580,ACACT5m,-79.04642409033889,0.0,-79.04642409033889
1581,ECOAH4p,0.0,0.0,0.0
1582,r0730,79.04642409033873,0.0,79.04642409033873
1583,r0731,79.04642409033873,0.0,79.04642409033873
1584,r0734,0.0,0.0,0.0
1585,r0737,0.0,0.0,0.0
1586,r0743,0.0,0.0,0.0
1587,r0744,0.0,0.0,0.0
1588,r0755,0.0,0.0,0.0
1589,r0756,0.0,0.0,0.0
1590,r0774,-147.9786372617577,-7.821953145919346e-14,-147.97863726175763
1591,LNS14DMr,0.0,0.0,0.0
1592,r0784,527.1044284750541,0.0,527.1044284750541
1593,r0786,0.0,0.0,0.0
1594,SBPP1,0.0,0.0,0.0
1595,r0788,0.0,0.0,0.0
1596,r0789,0.0,0.0,0.0
1597,r0797,-96.61229611041499,-303.1662395098465,206.5539433994315
1598,r0801,-1000.0,-1000.0,0.0
1599,r0812,0.0,0.0,0.0
1600,r0819,82.53350349602968,0.0,82.53350349602968
1601,r0822,0.0,0.0,0.0
1602,r0829,0.0,0.0,0.0
1603,r0830,-917.4664965039702,-999.9999999999999,82.53350349602965
1604,r0836,418.8267823401836,0.0,418.8267823401836
1605,r0839,-456.7012566513032,-456.70125665130575,2.5579538487363607e-12
1606,r0840,0.0,0.0,0.0
1607,r0841,0.0,0.0,0.0
1608,r0842,0.0,0.0,0.0
1609,r0845,0.0,0.0,0.0
1610,r0859,0.0,0.0,0.0
1611,r0870,0.0,0.0,0.0
1612,r0885,-1000.0,-1000.0000000000002,2.2737367544323206e-13
1613,r0892,-1000.0,-1000.0,0.0
1614,r0899,490.0372393339362,0.0,490.0372393339362
1615,r0907,0.0,0.0,0.0
1616,r0908,0.0,0.0,0.0
1617,r0909,0.0,0.0,0.0
1618,MALICITtm,0.0,-1.1208886312284793e-13,1.1208886312284793e-13
1619,r0915,-1000.0,-1000.0,0.0
1620,r0921,0.0,0.0,0.0
1621,r0924,0.0,0.0,0.0
1622,r0926,0.0,0.0,0.0
1623,r0932,0.0,0.0,0.0
1624,r0936,0.0,0.0,0.0
1625,r0937,0.0,0.0,0.0
1626,r0940,-999.9999999999999,-999.9999999999999,0.0
1627,r0942,0.0,0.0,0.0
1628,SPMDtex2,0.0,0.0,0.0
1629,r0954,1.0877779540659615e-12,0.0,1.0877779540659615e-12
1630,r0960,0.0,0.0,0.0
1631,r0962,1000.0000000000001,0.0,1000.0000000000001
1632,r0975,0.0,0.0,0.0
1633,r0983,0.0,0.0,0.0
1634,r0984,0.0,0.0,0.0
1635,r0986,0.0,0.0,0.0
1636,r0987,0.0,0.0,0.0
1637,r0989,0.0,0.0,0.0
1638,r0994,0.0,0.0,0.0
1639,r0997,999.9999999999999,0.0,999.9999999999999
1640,CARN1619Zt_m,0.0,0.0,0.0
1641,r1002,0.0,0.0,0.0
1642,r1005,0.0,0.0,0.0
1643,r1007,0.0,0.0,0.0
1644,r1008,0.0,0.0,0.0
1645,r1013,0.0,0.0,0.0
1646,r1014,0.0,0.0,0.0
1647,r1017,0.0,0.0,0.0
1648,r1029,0.0,0.0,0.0
1649,r1043,0.0,0.0,0.0
1650,r1044,0.0,0.0,0.0
1651,r1045,0.0,0.0,0.0
1652,r1051,0.0,0.0,0.0
1653,CITt2r,0.0,0.0,0.0
1654,CITt4_1,0.0,0.0,0.0
1655,r1117,0.0,0.0,0.0
1656,r1134,0.0,0.0,0.0
1657,r1143,0.0,0.0,0.0
1658,GLUt4,0.0,0.0,0.0
1659,r1148,0.0,-129.9283883613628,129.9283883613628
1660,r1150,0.0,0.0,0.0
1661,r1155,0.0,0.0,0.0
1662,r1162,0.0,0.0,0.0
1663,r1163,0.0,0.0,0.0
1664,r1164,0.0,0.0,0.0
1665,r1167,0.0,0.0,0.0
1666,r1170,0.0,0.0,0.0
1667,r1175,0.0,0.0,0.0
1668,r1177,0.0,0.0,0.0
1669,r1179,0.0,0.0,0.0
1670,r1182,0.0,0.0,0.0
1671,r1251,0.0,0.0,0.0
1672,r1252,0.0,0.0,0.0
1673,r1253,0.0,0.0,0.0
1674,r1254,0.0,0.0,0.0
1675,r1260,0.0,0.0,0.0
1676,r1262,0.0,0.0,0.0
1677,PPCOAtm,0.0,653.9308201614198,-653.9308201614198
1678,r1292,-13.801756587202124,-43.30946278712088,29.507706199918754
1679,r1298,0.0,0.0,0.0
1680,r1304,0.0,0.0,0.0
1681,r1364,0.0,0.0,0.0
1682,r1365,0.0,0.0,0.0
1683,r1374,0.0,0.0,0.0
1684,r1375,0.0,0.0,0.0
1685,r1378,0.0,0.0,0.0
1686,r1382_1,0.0,0.0,0.0
1687,r1383_1,0.0,0.0,0.0
1688,r1384,-1000.0,-1000.0,0.0
1689,r1392,0.0,0.0,0.0
1690,r1400,13.801756587202124,0.0,13.801756587202124
1691,HCO3Ee,-1.3905694481634392e-13,-3.128781258367738e-13,1.738211810204299e-13
1692,r1421,0.0,0.0,0.0
1693,PIt,1000.0,1000.0,0.0
1694,r1428,0.0,0.0,0.0
1695,ALAtmi,0.0,0.0,0.0
1696,r1435,0.0,0.0,0.0
1697,r1437,0.0,0.0,0.0
1698,ACOAO5p,0.0,0.0,0.0
1699,ACOAO4p,0.0,0.0,0.0
1700,r1448,0.0,0.0,0.0
1701,r1449,0.0,0.0,0.0
1702,r1450,0.0,0.0,0.0
1703,PHEt2m,0.0,0.0,0.0
1704,r1456,0.0,0.0,0.0
1705,r1467,65.24466750313675,0.0,65.24466750313675
1706,r1468,0.0,0.0,0.0
1707,r1487,0.0,0.0,0.0
1708,GTHRDt2,0.0,0.0,0.0
1709,r1495,0.0,0.0,0.0
1710,r1497,0.0,0.0,0.0
1711,r1498,0.0,0.0,0.0
1712,r1499,0.0,0.0,0.0
1713,r1502,0.0,0.0,0.0
1714,r1503,0.0,0.0,0.0
1715,r1515,0.0,0.0,0.0
1716,r1518,0.0,0.0,0.0
1717,r1519,0.0,0.0,0.0
1718,r1520,0.0,0.0,0.0
1719,r1525,0.0,0.0,0.0
1720,r1530,0.0,0.0,0.0
1721,r1531_1,0.0,0.0,0.0
1722,r1533_1,0.0,0.0,0.0
1723,r1536,0.0,0.0,0.0
1724,r1540,0.0,0.0,0.0
1725,r1547,0.0,0.0,0.0
1726,r1548,0.0,0.0,0.0
1727,r1549,0.0,0.0,0.0
1728,r1552,0.0,0.0,0.0
1729,r1553,0.0,0.0,0.0
1730,r1554,0.0,0.0,0.0
1731,r1556,0.0,0.0,0.0
1732,r1557,0.0,0.0,0.0
1733,r1560,0.0,0.0,0.0
1734,r1561,0.0,0.0,0.0
1735,r1562,0.0,0.0,0.0
1736,r1564,0.0,0.0,0.0
1737,r1565,0.0,0.0,0.0
1738,r1567,0.0,0.0,0.0
1739,r1568,0.0,0.0,0.0
1740,r1571,0.0,0.0,0.0
1741,r1578,0.0,0.0,0.0
1742,r1579,298.36895718003797,0.0,298.36895718003797
1743,r1581,0.0,0.0,0.0
1744,r1584,0.0,0.0,0.0
1745,r1585,0.0,0.0,0.0
1746,r1586,0.0,0.0,0.0
1747,r1587,0.0,0.0,0.0
1748,r1588,0.0,0.0,0.0
1749,r1589,0.0,0.0,0.0
1750,r1590,0.0,0.0,0.0
1751,r1591,0.0,0.0,0.0
1752,r1593,0.0,0.0,0.0
1753,r1594,0.0,0.0,0.0
1754,r1595,0.0,0.0,0.0
1755,r1597,0.0,0.0,0.0
1756,r1603,0.0,0.0,0.0
1757,r1604,0.0,0.0,0.0
1758,r1610,0.0,0.0,0.0
1759,r1611,0.0,0.0,0.0
1760,r1612,0.0,0.0,0.0
1761,r1613,0.0,0.0,0.0
1762,r1615,0.0,0.0,0.0
1763,r1616,0.0,0.0,0.0
1764,r1617,0.0,0.0,0.0
1765,TYRPHELAT2tc,0.0,0.0,0.0
1766,CYSPHELAT2tc,0.0,0.0,0.0
1767,r1621,0.0,0.0,0.0
1768,ASNPHELAT2tc,0.0,0.0,0.0
1769,VALPHELAT2tc,0.0,0.0,0.0
1770,THRPHELAT2tc,0.0,0.0,0.0
1771,ILEPHELAT2tc,0.0,0.0,0.0
1772,r1629,0.0,0.0,0.0
1773,r1630,0.0,0.0,0.0
1774,r1631,0.0,0.0,0.0
1775,r1632,0.0,0.0,0.0
1776,r1634,0.0,0.0,0.0
1777,r1637,0.0,0.0,0.0
1778,r1641,0.0,0.0,0.0
1779,r1645,0.0,0.0,0.0
1780,ILELAT1tc,0.0,0.0,0.0
1781,r1648,0.0,0.0,0.0
1782,r1649,0.0,0.0,0.0
1783,r1652,0.0,0.0,0.0
1784,r1657,0.0,0.0,0.0
1785,r1659,0.0,0.0,0.0
1786,r1661,0.0,0.0,0.0
1787,r1666,0.0,0.0,0.0
1788,r1671,0.0,0.0,0.0
1789,r1673,0.0,0.0,0.0
1790,r1674,0.0,0.0,0.0
1791,r1676,0.0,0.0,0.0
1792,r1678,0.0,0.0,0.0
1793,r1680,0.0,0.0,0.0
1794,r1685,0.0,0.0,0.0
1795,r1686,0.0,0.0,0.0
1796,r1692,0.0,0.0,0.0
1797,r1693,0.0,0.0,0.0
1798,r1696,0.0,0.0,0.0
1799,r1700,0.0,0.0,0.0
1800,r1701,0.0,0.0,0.0
1801,r1705,0.0,0.0,0.0
1802,r1706,0.0,0.0,0.0
1803,r1707,0.0,0.0,0.0
1804,r1710,11.567688050521191,0.0,11.567688050521191
1805,r1717,0.0,0.0,0.0
1806,r1722,0.0,0.0,0.0
1807,r1723,0.0,0.0,0.0
1808,r1726,0.0,0.0,0.0
1809,r1731,0.0,0.0,0.0
1810,r1732,0.0,0.0,0.0
1811,r1736,0.0,0.0,0.0
1812,r1744,0.0,0.0,0.0
1813,r1745,0.0,0.0,0.0
1814,r1746,0.0,0.0,0.0
1815,r1747,0.0,0.0,0.0
1816,r1748,0.0,0.0,0.0
1817,r1750,0.0,0.0,0.0
1818,r1752,0.0,0.0,0.0
1819,r1753,0.0,0.0,0.0
1820,r1754,0.0,0.0,0.0
1821,r1755,0.0,0.0,0.0
1822,r1758,0.0,0.0,0.0
1823,r1762,-2.334101701415737e-13,0.0,-2.334101701415737e-13
1824,r1763,0.0,0.0,0.0
1825,r1764,0.0,0.0,0.0
1826,r1766,1000.0,0.0,1000.0
1827,r1768,0.0,0.0,0.0
1828,r1771,0.0,0.0,0.0
1829,r1774,0.0,0.0,0.0
1830,r1778,0.0,0.0,0.0
1831,r1779,0.0,0.0,0.0
1832,r1781,0.0,0.0,0.0
1833,r1783,0.0,0.0,0.0
1834,r1784,0.0,0.0,0.0
1835,r1786,0.0,0.0,0.0
1836,r1789,0.0,0.0,0.0
1837,r1790,0.0,0.0,0.0
1838,r1791,0.0,0.0,0.0
1839,r1792,0.0,0.0,0.0
1840,r1796,0.0,0.0,0.0
1841,r1797,0.0,0.0,0.0
1842,r1798,0.0,0.0,0.0
1843,r1799,0.0,0.0,0.0
1844,r1805,0.0,0.0,0.0
1845,r1806,0.0,0.0,0.0
1846,r1809,0.0,0.0,0.0
1847,r1811,0.0,0.0,0.0
1848,r1814,0.0,0.0,0.0
1849,r1817,0.0,0.0,0.0
1850,r1818,0.0,0.0,0.0
1851,r1820,0.0,0.0,0.0
1852,r1821,0.0,0.0,0.0
1853,r1822,0.0,0.0,0.0
1854,r1823,0.0,0.0,0.0
1855,r1824,0.0,781.492831713041,-781.492831713041
1856,r1827,0.0,0.0,0.0
1857,r1829,0.0,0.0,0.0
1858,r1830,0.0,0.0,0.0
1859,r1832,0.0,0.0,0.0
1860,r1833,0.0,0.0,0.0
1861,r1836,0.0,0.0,0.0
1862,r1837,0.0,0.0,0.0
1863,r1841,0.0,0.0,0.0
1864,r1842,0.0,0.0,0.0
1865,r1846,0.0,0.0,0.0
1866,r1847,0.0,0.0,0.0
1867,r1848,0.0,0.0,0.0
1868,r1851,0.0,0.0,0.0
1869,r1853,0.0,0.0,0.0
1870,r1854,0.0,0.0,0.0
1871,r1855,0.0,0.0,0.0
1872,r1857,0.0,0.0,0.0
1873,r1858,0.0,0.0,0.0
1874,r1860,0.0,0.0,0.0
1875,r1861,0.0,0.0,0.0
1876,r1864,0.0,0.0,0.0
1877,r1865,0.0,0.0,0.0
1878,r1867,0.0,0.0,0.0
1879,r1874,0.0,0.0,0.0
1880,r1876,0.0,0.0,0.0
1881,r1877,0.0,0.0,0.0
1882,r1880,0.0,0.0,0.0
1883,r1881,0.0,0.0,0.0
1884,r1882,0.0,0.0,0.0
1885,r1885,0.0,0.0,0.0
1886,r1887,0.0,0.0,0.0
1887,r1889,0.0,0.0,0.0
1888,r1890,0.0,0.0,0.0
1889,r1892,0.0,0.0,0.0
1890,r1893,0.0,0.0,0.0
1891,r1898,0.0,0.0,0.0
1892,r1899,0.0,0.0,0.0
1893,r1900,0.0,0.0,0.0
1894,r1901,0.0,0.0,0.0
1895,r1903,0.0,0.0,0.0
1896,r1904,0.0,0.0,0.0
1897,r1905,0.0,0.0,0.0
1898,r1907,0.0,0.0,0.0
1899,r1908,0.0,0.0,0.0
1900,r1910,0.0,0.0,0.0
1901,r1912,0.0,0.0,0.0
1902,r1916,0.0,0.0,0.0
1903,r1918,0.0,0.0,0.0
1904,r1920,0.0,0.0,0.0
1905,r1921,0.0,0.0,0.0
1906,r1925,0.0,0.0,0.0
1907,r1928,0.0,0.0,0.0
1908,r1932,0.0,0.0,0.0
1909,r1935,0.0,0.0,0.0
1910,r1940,0.0,0.0,0.0
1911,r1944,0.0,0.0,0.0
1912,r1945,0.0,0.0,0.0
1913,r1948,0.0,0.0,0.0
1914,r1949,0.0,0.0,0.0
1915,r1951,0.0,0.0,0.0
1916,r1954,0.0,0.0,0.0
1917,r1957,0.0,0.0,0.0
1918,r1961,0.0,0.0,0.0
1919,r1962,0.0,0.0,0.0
1920,r1963,0.0,0.0,0.0
1921,r1964,0.0,0.0,0.0
1922,r1965,0.0,0.0,0.0
1923,r1967,0.0,0.0,0.0
1924,r1970,0.0,0.0,0.0
1925,r1972,0.0,0.0,0.0
1926,r1974,0.0,0.0,0.0
1927,r1976,0.0,0.0,0.0
1928,r1980,0.0,0.0,0.0
1929,r1981,0.0,0.0,0.0
1930,r1983,0.0,0.0,0.0
1931,r1984,0.0,0.0,0.0
1932,r1985,0.0,0.0,0.0
1933,r1986,0.0,0.0,0.0
1934,r1987,0.0,0.0,0.0
1935,r1989,0.0,0.0,0.0
1936,r1997,0.0,0.0,0.0
1937,r2000,0.0,0.0,0.0
1938,r2001,0.0,0.0,0.0
1939,r2003,0.0,0.0,0.0
1940,r2004,0.0,0.0,0.0
1941,r2005,0.0,0.0,0.0
1942,r2007,0.0,0.0,0.0
1943,r2011,0.0,0.0,0.0
1944,r2013,0.0,0.0,0.0
1945,r2014,0.0,0.0,0.0
1946,r2016,0.0,0.0,0.0
1947,r2017,0.0,0.0,0.0
1948,r2018,0.0,0.0,0.0
1949,r2021,0.0,0.0,0.0
1950,r2023,0.0,0.0,0.0
1951,r2026,0.0,0.0,0.0
1952,r2030,0.0,0.0,0.0
1953,r2031,0.0,0.0,0.0
1954,r2032,0.0,0.0,0.0
1955,r2035,0.0,0.0,0.0
1956,r2036,0.0,0.0,0.0
1957,r2038,0.0,0.0,0.0
1958,r2039,0.0,0.0,0.0
1959,r2040,0.0,0.0,0.0
1960,r2041,0.0,0.0,0.0
1961,r2046,0.0,0.0,0.0
1962,r2047,0.0,0.0,0.0
1963,r2048,0.0,0.0,0.0
1964,r2049,0.0,0.0,0.0
1965,r2050,0.0,0.0,0.0
1966,r2051,0.0,0.0,0.0
1967,r2055,0.0,0.0,0.0
1968,r2056,0.0,0.0,0.0
1969,r2058,0.0,0.0,0.0
1970,r2060,0.0,0.0,0.0
1971,r2063,0.0,0.0,0.0
1972,r2065,0.0,0.0,0.0
1973,r2067,0.0,0.0,0.0
1974,r2068,0.0,0.0,0.0
1975,r2071,0.0,0.0,0.0
1976,r2073_1,0.0,0.0,0.0
1977,r2080,0.0,0.0,0.0
1978,r2081,0.0,0.0,0.0
1979,r2084,0.0,0.0,0.0
1980,r2085,0.0,0.0,0.0
1981,r2086,0.0,653.9308201614199,-653.9308201614199
1982,r2087,0.0,0.0,0.0
1983,r2088,0.0,0.0,0.0
1984,r2089,0.0,0.0,0.0
1985,r2090,0.0,0.0,0.0
1986,r2092,0.0,0.0,0.0
1987,r2093,0.0,0.0,0.0
1988,r2094,0.0,0.0,0.0
1989,r2096,0.0,0.0,0.0
1990,r2100,0.0,0.0,0.0
1991,r2101,0.0,0.0,0.0
1992,r2104,0.0,0.0,0.0
1993,r2106,0.0,0.0,0.0
1994,r2108,0.0,0.0,0.0
1995,r2111,0.0,0.0,0.0
1996,r2113,0.0,0.0,0.0
1997,r2114,0.0,0.0,0.0
1998,r2115,0.0,0.0,0.0
1999,r2120,0.0,0.0,0.0
2000,r2121,0.0,-1.836477559142843e-13,1.836477559142843e-13
2001,r2122,0.0,0.0,0.0
2002,r2123,0.0,0.0,0.0
2003,r2125,0.0,0.0,0.0
2004,r2126,0.0,0.0,0.0
2005,r2130,0.0,0.0,0.0
2006,r2133,0.0,0.0,0.0
2007,25HVITD2tin_m,0.0,0.0,0.0
2008,r2313,0.0,0.0,0.0
2009,r2315,0.0,0.0,0.0
2010,r2317,0.0,0.0,0.0
2011,r2321,0.0,0.0,0.0
2012,r2324,0.0,0.0,0.0
2013,r2325,0.0,0.0,0.0
2014,r2331,0.0,1000.0,-1000.0
2015,r2332,0.0,0.0,0.0
2016,r2333,555.7939141431707,0.0,555.7939141431707
2017,r2334,-555.7939141431709,0.0,-555.7939141431709
2018,r2439,0.0,0.0,0.0
2019,r2335,0.0,0.0,0.0
2020,RE0512X,0.0,0.0,0.0
2021,RE0567C,0.0,0.0,0.0
2022,SERt2r,0.0,0.0,0.0
2023,RE0568C,0.0,0.0,0.0
2024,r2472,0.0,0.0,0.0
2025,G6Pt6er,0.0,0.0,0.0
2026,RE0569C,0.0,0.0,0.0
2027,RE0569E,0.0,0.0,0.0
2028,r2374,0.0,0.0,0.0
2029,r2375,0.0,0.0,0.0
2030,r2377,0.0,0.0,0.0
2031,r2382,0.0,0.0,0.0
2032,r2502,0.0,0.0,0.0
2033,r2505,0.0,0.0,0.0
2034,r2506,0.0,0.0,0.0
2035,r2509,0.0,0.0,0.0
2036,r2510,0.0,0.0,0.0
2037,r2384,0.0,0.0,0.0
2038,r2385,0.0,0.0,0.0
2039,r2512,0.0,0.0,0.0
2040,r2387,0.0,0.0,0.0
2041,r2514,0.0,0.0,0.0
2042,r2388,0.0,0.0,0.0
2043,r2515,0.0,0.0,0.0
2044,RE0570C,0.0,0.0,0.0
2045,r2516,999.9999999999997,0.0,999.9999999999997
2046,r2517,0.0,0.0,0.0
2047,r2518,0.0,0.0,0.0
2048,RE0575C,0.0,0.0,0.0
2049,r2519,0.0,0.0,0.0
2050,r2520,1000.0,0.0,1000.0
2051,GLNt,0.0,0.0,0.0
2052,r2532,0.0,0.0,0.0
2053,RE0689E,0.0,0.0,0.0
2054,r2534,0.0,0.0,0.0
2055,r2538,0.0,0.0,0.0
2056,EX_so3_e,0.0,0.0,0.0
2057,r2419,0.0,0.0,0.0
2058,RE0452M,1.5475296079321594e-13,0.0,1.5475296079321594e-13
2059,RE0690E,0.0,0.0,0.0
2060,RE0453C,0.0,-1000.0,1000.0
2061,RE0453M,0.0,0.0,0.0
2062,RE0456N,999.9999999999999,999.9999999999999,0.0
2063,RE1518X,0.0,0.0,0.0
2064,RE1519X,0.0,0.0,0.0
2065,RE1520M,0.0,1.2126349525775495e-13,-1.2126349525775495e-13
2066,RE1520X,0.0,0.0,0.0
2067,RE1522M,-1.5585797516017107e-13,0.0,-1.5585797516017107e-13
2068,RE0691C,0.0,0.0,0.0
2069,RE1522X,0.0,0.0,0.0
2070,RE1526M,0.0,1.2126349525775495e-13,-1.2126349525775495e-13
2071,RE0908C,0.0,0.0,0.0
2072,RE1526X,0.0,0.0,0.0
2073,RE1527M,0.0,1.2126349525775495e-13,-1.2126349525775495e-13
2074,RE1957R_1,0.0,0.0,0.0
2075,RE0912C,0.0,0.0,0.0
2076,RE1527X,0.0,0.0,0.0
2077,RE0915C,0.0,0.0,0.0
2078,RE1530M,0.0,0.0,0.0
2079,RE1531M,0.0,0.0,0.0
2080,RE0918C,0.0,0.0,0.0
2081,RE1533X,0.0,0.0,0.0
2082,RE0958C,0.0,0.0,0.0
2083,RE1534M,0.0,1.2126349525775498e-13,-1.2126349525775498e-13
2084,RE1534X,0.0,0.0,0.0
2085,RE1978C,0.0,0.0,0.0
2086,RE2030M,0.0,0.0,0.0
2087,RE2034C,0.0,0.0,0.0
2088,RE1587C,0.0,0.0,0.0
2089,RE1630C,0.0,0.0,0.0
2090,RE1632C,0.0,0.0,0.0
2091,CYANSTm,0.0,0.0,0.0
2092,RE1709C,0.0,0.0,0.0
2093,RE1804M,0.0,0.0,0.0
2094,RE1807C,0.0,0.0,0.0
2095,RE2069C,0.0,0.0,0.0
2096,RE2078M,3.370890833306607e-13,0.0,3.370890833306607e-13
2097,RE2080C,0.0,0.0,0.0
2098,RE2122C,0.0,0.0,0.0
2099,RE2127C,0.0,0.0,0.0
2100,RE2130C,0.0,0.0,0.0
2101,RE1810M,0.0,0.0,0.0
2102,RE1826C,0.0,0.0,0.0
2103,RE1834M,0.0,0.0,0.0
2104,STS3,0.0,0.0,0.0
2105,RE1835C,0.0,0.0,0.0
2106,RE1845C,0.0,0.0,0.0
2107,RE2155C,0.0,0.0,0.0
2108,RE1898C,0.0,0.0,0.0
2109,STS3r,0.0,0.0,0.0
2110,RE1901R,0.0,0.0,0.0
2111,RE1919C,20.07080333281533,-346.0691798385802,366.13998317139556
2112,RE1134C,0.0,0.0,0.0
2113,STS4,0.0,0.0,0.0
2114,RE1233C,0.0,350.3346002815198,-350.3346002815198
2115,SPMDAT1,0.0,0.0,0.0
2116,SPMDAT2,0.0,-207.9859839022295,207.9859839022295
2117,RE2223M,0.0,0.0,0.0
2118,AADSACYCL,0.0,0.0,0.0
2119,RE2240C,0.0,0.0,0.0
2120,RE2660C,0.0,0.0,0.0
2121,RE2273E,0.0,0.0,0.0
2122,RE1342C,0.0,0.0,0.0
2123,RE2296C,0.0,0.0,0.0
2124,RE2660N,0.0,0.0,0.0
2125,RE2666C_1,0.0,0.0,0.0
2126,RE2346C,0.0,0.0,0.0
2127,RE2386C,0.0,0.0,0.0
2128,RE1441R_1,0.0,0.0,0.0
2129,RE2426C,0.0,0.0,0.0
2130,RE2445E,0.0,0.0,0.0
2131,RE1516X,0.0,0.0,0.0
2132,RE2526C,0.0,0.0,0.0
2133,RE2562C,0.0,0.0,0.0
2134,RE1517M,0.0,0.0,0.0
2135,RE2563C,0.0,-11.39802924348379,11.39802924348379
2136,RE3036C,0.0,0.0,0.0
2137,RE2605C,0.0,1000.0,-1000.0
2138,RE2625M,0.0,-86.65165202689413,86.65165202689413
2139,RE2626M,0.0,0.0,0.0
2140,RE2635C,0.0,0.0,0.0
2141,RE2636C,0.0,0.0,0.0
2142,RE2644C,0.0,0.0,0.0
2143,RE2677E_1,0.0,0.0,0.0
2144,RE2677N_1,971.086396991953,971.0863969919536,-5.684341886080801e-13
2145,RE2705C,0.0,0.0,0.0
2146,RE2717L,0.0,0.0,0.0
2147,RE2814M,0.0,0.0,0.0
2148,RE2888C_1,0.0,-4.3152959160647367e-13,4.3152959160647367e-13
2149,RE2948C,0.0,0.0,0.0
2150,RE2649M,0.0,0.0,0.0
2151,RE2651R,0.0,0.0,0.0
2152,RE2658C,0.0,0.0,0.0
2153,PYK6,0.0,974.4057106482287,-974.4057106482287
2154,RE2972M_1,0.0,0.0,0.0
2155,RE3041C,0.0,0.0,0.0
2156,RE2973N_1,0.0,0.0,0.0
2157,RE2974N_1,0.0,0.0,0.0
2158,RE3044C,0.0,0.0,0.0
2159,RE2985X,0.0,0.0,0.0
2160,RE2986X,0.0,0.0,0.0
2161,RE2991X,0.0,0.0,0.0
2162,RE2992M,-1.5585797516017105e-13,0.0,-1.5585797516017105e-13
2163,RE3050R,0.0,0.0,0.0
2164,RE2998M,1000.0,1000.0,0.0
2165,RE3076X,8.556857381458734e-13,0.0,8.556857381458734e-13
2166,RE2999M,0.0,0.0,0.0
2167,RE3000M,0.0,0.0,0.0
2168,RE3192M,0.0,0.0,0.0
2169,RE3079X,0.0,0.0,0.0
2170,RE3001M,0.0,0.0,0.0
2171,RE3081X,0.0,0.0,0.0
2172,RE3002X,0.0,0.0,0.0
2173,RE3005M,0.0,0.0,0.0
2174,RE3010C,0.0,0.0,0.0
2175,RE3010X,0.0,0.0,0.0
2176,RE3193M,0.0,0.0,0.0
2177,RE3194M,0.0,0.0,0.0
2178,RE3011R,0.0,0.0,0.0
2179,RE3013C,0.0,0.0,0.0
2180,RE3103C,0.0,0.0,0.0
2181,RE3014R,0.0,0.0,0.0
2182,RE3016R,0.0,0.0,0.0
2183,RE3017R,0.0,0.0,0.0
2184,RE3201C,0.0,0.0,0.0
2185,RE3224C,0.0,0.0,0.0
2186,RE3228C,0.0,0.0,0.0
2187,RE3231C,0.0,0.0,0.0
2188,RE3104C,0.0,0.0,0.0
2189,RE3232C,0.0,0.0,0.0
2190,RE3234C,0.0,0.0,0.0
2191,RE3108C,0.0,0.0,0.0
2192,RE3236C,0.0,0.0,0.0
2193,RE3237C,0.0,0.0,0.0
2194,RE3241C,0.0,0.0,0.0
2195,RE3243C,0.0,0.0,0.0
2196,RE3432C,0.0,0.0,0.0
2197,RE3434C,0.0,0.0,0.0
2198,RE3436C,0.0,0.0,0.0
2199,RE3437C,0.0,0.0,0.0
2200,RE3247M,0.0,0.0,0.0
2201,RE3247X,0.0,0.0,0.0
2202,RE3251C,0.0,0.0,0.0
2203,RE3251M,0.0,0.0,0.0
