symbol,log2fold_change,regulation
ADCY8,1.043873671,Upregulated
KCNK9,1.406903647,Upregulated
MROH5,1.262316427,Upregulated
CYP11B1,1.027120852,Upregulated
DMRT1,1.124349218,Upregulated
DMRT3,1.027120341,Upregulated
SH3GL2,1.119592441,Upregulated
SCARNA8,1.001712784,Upregulated
PHF24,1.056359105,Upregulated
ATP8B5P,1.27563844,Upregulated
C9orf57,1.285073657,Upregulated
GDA,1.188271001,Upregulated
SPATA31D5P,1.019136431,Upregulated
SPATA31E1,1.053175913,Upregulated
MIR3153,1.066133057,Upregulated
LOC286370,1.043757446,Upregulated
LOC642943,1.082917758,Upregulated
MIRLET7F1,-1.334190243,Downregulated
MIRLET7D,-1.146690525,Downregulated
GABBR2,1.092309738,Upregulated
NR4A3,1.80327195,Upregulated
PPP3R2,1.254078117,Upregulated
LINC01492,1.111082614,Upregulated
SMC2-AS1,1.241860463,Upregulated
LINC01505,1.441906283,Upregulated
LINC01509,1.005877554,Upregulated
LOC101928748,1.145758197,Upregulated
LOC101928797,1.069223934,Upregulated
LOC401557,1.170491772,Upregulated
LOC100133077,1.053961123,Upregulated
CACNA1B,1.319872024,Upregulated
LOC101928786,1.037145524,Upregulated
CRLF2,1.294426083,Upregulated
ARSF,1.112922275,Upregulated
FAM9A,1.168812186,Upregulated
FRMPD4,1.176015271,Upregulated
GS1-600G8.3,1.049437627,Upregulated
GLRA2,1.295209023,Upregulated
ASB11,1.40303661,Upregulated
ACE2,1.334059966,Upregulated
BEND2,1.147340013,Upregulated
ZNF645,1.042378414,Upregulated
DDX53,1.134344682,Upregulated
DCAF8L1,1.126502914,Upregulated
MAGEB4,1.048921272,Upregulated
LOC101927476,1.369294114,Upregulated
LINC01204,1.385583127,Upregulated
GAGE1,1.024846866,Upregulated
PAGE4,1.034540812,Upregulated
AKAP4,1.056404627,Upregulated
DGKK,1.58908707,Upregulated
FOXR2,1.069324242,Upregulated
LINC00269,1.202465336,Upregulated
TEX11,1.060918242,Upregulated
TBX22,1.060715655,Upregulated
FAM46D,1.04119634,Upregulated
SERPINA7,1.005308243,Upregulated
TDGF1P3,1.11234368,Upregulated
LOC101928437,1.274236926,Upregulated
HTR2C,1.050915061,Upregulated
LUZP4,1.08462728,Upregulated
KIAA1210,1.008666195,Upregulated
LOC101928336,1.117585879,Upregulated
LOC100129520,1.070124464,Upregulated
SAGE1,1.280948291,Upregulated
ADGRG4,1.39200204,Upregulated
F9,1.191018887,Upregulated
MCF2,1.112659416,Upregulated
SLITRK2,1.229169647,Upregulated
MAGEA11,1.253783063,Upregulated
PASD1,1.237688996,Upregulated
CNGA2,1.022239011,Upregulated
